Concept,like,dislike
http://www.example.com/User/34607546,,http://www.example.com/Song/4c7a6f8b-092c-439f-9b9e-841733be3a57
http://www.example.com/User/47836461,,http://www.example.com/Song/0f018630-be25-4420-b66b-9e9b0783ff6b
http://www.example.com/User/5678585,,http://www.example.com/Song/29a1f6f9-cdb5-47e2-a09e-14a567c39971
http://www.example.com/User/2305979,,http://www.example.com/Song/296808f3-9cd1-4417-929a-e6c21ada5b53
http://www.example.com/User/5164782,,http://www.example.com/Song/6086c33e-826b-4353-b94b-88a3969f9f8b
http://www.example.com/User/4346126,,http://www.example.com/Song/5e4479aa-2c36-4903-9a00-91b2c6ac571c
http://www.example.com/User/2327338,,http://www.example.com/Song/7e034898-5fbd-430d-8b3a-685b36a228e9
http://www.example.com/User/2716999,,http://www.example.com/Song/0491cf2f-4b62-48aa-bf98-a78d9df2c612
http://www.example.com/User/5500757,,http://www.example.com/Song/79944266-63fb-471b-8712-837cb01f6c53
http://www.example.com/User/8955957,,http://www.example.com/Song/237eecda-4e30-4c70-90f1-0faa805ac1a5
http://www.example.com/User/36640897,,http://www.example.com/Song/1b4e6e81-29ac-4764-8ad0-cc096f83cdee
http://www.example.com/User/2641798,,http://www.example.com/Song/455b6ef4-b566-4e86-be82-ea3e721d11c6
http://www.example.com/User/3793,,http://www.example.com/Song/d3f8d8a8-8048-4cd3-8d53-d8869726c75f
http://www.example.com/User/1043581,,http://www.example.com/Song/63bd3e0b-7a0a-40dd-969e-3f61eb4190ce
http://www.example.com/User/2149308,,http://www.example.com/Song/906a7523-d53a-41b5-a106-adf805e4de96
http://www.example.com/User/1029545,,http://www.example.com/Song/74961904-2ffd-46e7-ba69-556c26de8a33
http://www.example.com/User/1029545,,http://www.example.com/Song/189301eb-8c80-4caf-92fe-4b5305ed368f
http://www.example.com/User/2327338,,http://www.example.com/Song/6da102e0-54c7-47dc-a1b1-b4d5187ad3e8
http://www.example.com/User/2030819,,http://www.example.com/Song/1b816729-e3e1-414e-81b7-9b1f64276086
http://www.example.com/User/10673909,,http://www.example.com/Song/092b7d76-b9f3-42b4-88f7-4adec3eed283
http://www.example.com/User/3793,,http://www.example.com/Song/308c96e0-ac01-45dd-9e7a-9dec2de841f7
http://www.example.com/User/15047815,,http://www.example.com/Song/6df7274c-9a85-4b02-928b-7c7d16515fcc
http://www.example.com/User/1012966,,http://www.example.com/Song/1ff27ec9-8c3e-44ad-b0e2-338181a03cb0
